Ward,Crime Count,Population,Crime Rate,Estimated Mean Income
1,4413,788714,5.59518405911395,122484.73339291033
2,3019,808696,3.733170437346048,125593.47587719298
3,3211,722237,4.445909029861389,117574.23416651005
4,7704,795562,9.683720439136108,101800.17970693945
5,9238,848793,10.88369013410808,96028.92287234042
6,4159,874117,4.757944302650561,129936.54475982532
7,15484,748471,20.68750826685336,99242.27528089887
8,13170,848542,15.52074028156532,103752.40333262124
9,16047,774402,20.721795656519483,83342.0320111343
10,13160,823604,15.978552799646433,90074.06508013599
11,9043,934095,9.681028160947227,109214.06675749319
12,4582,850313,5.388603961129608,125565.87128213745
13,3685,808157,4.5597575718579435,119766.78087525307
14,3071,754436,4.070590480836015,127851.85507751264
